category,question,answer
Hyderabad Public Schools (HPS),Is uniform provided for female students beyond the tuition fee?,No.
Hyderabad Public Schools (HPS),Is a maintenance charge given to female students?,"Yes — Rs. 10,750 per year, credited directly."
Hyderabad Public Schools (HPS),Can seats be enhanced from 2 to 10 in Hyderabad District?,No — only 2 seats were allotted to HPS Begumpet after Telangana's formation.
Hyderabad Public Schools (HPS),Is tutor facility provided to SC-sponsored students?,No.
Hyderabad Public Schools (HPS),Are children admitted under the general quota eligible for scholarships?,Yes.
Best Available School Scheme,Is BAS a DRDA scheme?,"No, it is an SC Development Department scheme."
Best Available School Scheme,What is the main objective?,To provide poor SC students access to quality education in private schools.
Best Available School Scheme,For which classes are admissions taken?,1st and 5th class.
Best Available School Scheme,Is the scheme residential or non-residential?,Non-residential from Class 1; Residential from Class 5.
Best Available School Scheme,Who is eligible?,SC students native of Telangana.
Best Available School Scheme,What is the income limit?,"Below Rs. 2,00,000 p.a. (urban) / Rs. 1,50,000 p.a. (rural)."
Best Available School Scheme,What is the fee for the Non-Residential scheme?,"Rs. 28,000 per student."
Best Available School Scheme,What is the fee for the Residential scheme?,"Rs. 42,000 per student."
Best Available School Scheme,What does the Non-Residential fee cover?,"Tuition, extra-curricular activities, uniforms, textbooks/notebooks, up to Class 10."
Best Available School Scheme,What does the Residential fee cover?,"Same as above, plus hostel fees, up to Class 10."
Best Available School Scheme,Are selected students day scholars or residential?,"Both, depending on the class of admission."
Best Available School Scheme,How to apply?,"Manually, at the concerned Assistant Social Welfare Officer's (ASWO) office."
Best Available School Scheme,What documents are required for Class 1?,"Date of birth, income & caste certificates, residence certificate (Mee-Seva), Aadhaar, ration card."
Best Available School Scheme,Which schools are covered?,Private schools with quality staff/facilities such as computer and science labs.
Best Available School Scheme,Where is the list of schools available?,At every District SC Development Office (DSCDO).
Best Available School Scheme,How many seats per district?,As per the district's SC population percentage.
Best Available School Scheme,Is there reservation for boys and girls?,"Yes — 33% for girls, 68% general quota."
Best Available School Scheme,Is there reservation for orphans?,No.
Best Available School Scheme,How are schools selected?,By a District Level Committee (DLC).
Best Available School Scheme,What is the composition of the DLC?,"District Collector (Chairman), DSCDO (Member/Convener), District Educational Officer (Member), Convener/Principal APSWRJC (Member)."
Best Available School Scheme,How are students selected/allotted seats?,By lottery in a transparent box.
Best Available School Scheme,Can a student opt for a school in another district?,"No, only within their own district."
Best Available School Scheme,Can a student change schools after allotment?,No.
Best Available School Scheme,Is selection manual or online?,Manual.
Best Available School Scheme,Who conducts selection?,The District Level Committee.
Best Available School Scheme,Where does the student go after allotment?,No need — the ASWO visits the village for certificate and social-status verification.
Best Available School Scheme,When is the allotment order received?,Issued by the DSCDO after selection.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How many types of hostels are there?,Two — Pre-matric and Post-matric.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How to approach for hostel admission?,The District Officer / Assistant Social Welfare Officer / Hostel Welfare Officer.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Which classes have admissions?,3rd to 10th class.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is there a qualifying exam?,"No, direct admission."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is a caste certificate compulsory?,Yes.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are boys' and girls' hostels separate?,"Yes, for both pre- and post-matric."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Who is eligible for hostel admission?,"As per the Government caste ratio, among enrolled students."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What is the caste ratio in SC Development hostels?,"SC 75%, BC 12%, ST 6%, Christian-converted SCs 2%, Minorities 3%, OC/EBC 2%."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is any fee charged for admission?,No.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What is the income limit?,"Rural: Rs. 1,00,000; Urban: below Rs. 2,00,000."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What documents are required?,"Caste & income certificates, two photos, Aadhaar card, study certificates (TC & bonafide), residence certificate."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How to get caste and income certificates?,"Through Mee-Seva, issued by the concerned MRO."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What is the distance criteria for eligibility?,Above 5 km from hostel to home.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How long does admission take?,Same day.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is there a helpline?,Contact the Hostel Welfare Officer.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are private-school students eligible?,Yes.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is there a hostel for orphans/semi-orphans?,"Yes, Victoria Memorial Home."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What are the HWO's timings?,"6:00–9:00 AM, 1:00–2:00 PM, 5:00–9:00 PM."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How many staff are at each hostel?,"4 — HWO, Cook, Kamati, Watchman."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How to get admission to college hostels?,Through e-PASS.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are food and boarding facilities provided?,Yes.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What extra facilities are given?,"Trunk boxes, bunker beds, pillows, woollen blankets, sweaters, carpets, school bag, tiffin boxes, etc."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are school uniforms provided?,"Yes, two pairs."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How many pairs of dresses are given?,"4 pairs — one civil dress, one night dress, two school uniforms."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is study material provided?,"Yes, notebooks and special study material for SSC boarders."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are textbooks provided?,No.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What special material is given to SSC students?,"Geometry box, pens, pencils and a watch."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is personal-use money given?,Cosmetic amount for pre-matric boarders; pocket money for post-matric boarders.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How much cosmetic amount is given?,"Rs. 62/month (boys); girls: Rs. 55/month up to Class 7, Rs. 75/month for Class 8–10."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is there a library facility?,"Yes, in most hostels, space permitting."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What is the hostel capacity for boys/girls?,"100 boarders per hostel, per Government norms."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are study hours held?,"Yes, as per a study chart plus special classes for 10th class in 4 subjects."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How many study hours daily?,4 to 5 hours.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are tutors available?,"Yes — 4 tutors in special hostels, 3 in general hostels."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What is the tutors' qualification?,Degree with B.Ed/D.Ed.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are special classes held for weak students?,"Yes, remedial teaching is provided."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are special SSC classes held?,"Yes, daily, by approved tutors."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Which subjects get tuition?,"English, Maths, Hindi & Social."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are tests/exams conducted?,"Yes, a weekly test in all subjects."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are skill courses conducted?,"Yes, computer classes for skill development."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What kind of food is served?,As per the menu chart approved by the District Collector.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How many meals a day?,"Twice daily, three times on holidays."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are special meals provided?,"Yes, on national festivals and Sundays."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is non-veg food served?,"Yes, once weekly (chicken) on Sunday."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What medical facilities are there?,A first-aid kit is provided in all hostels.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are there doctor visits?,"Yes, a monthly health camp by PHC doctors."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are students taught about hygiene?,"Yes, by the HWO and medical staff."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What happens if a boarder falls sick or is injured?,Registered parent/guardian contacts are used for verification; first-aid is given; wardens accompany the student in emergencies and parents are contacted immediately.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are fitness facilities available?,"Yes, a gym in Government buildings."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are other activities conducted?,"Yes, sports meets."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What morning activities are held?,Yoga and jogging.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is there a laundry facility?,No.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are parent meetings held?,"Yes, quarterly."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What special programmes are conducted?,"Freshers' Day and Annual Day, every year."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Can students play at district-level games?,Yes.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are mobile phones allowed?,No.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What are the visiting hours for parents?,"Sundays, 9:00 AM to 1:00 PM."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is winter/rainy-season provision made?,"Yes — solar water heaters and sweaters with monkey caps, as per eligibility."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is outing allowed?,With parental permission.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What committees exist in hostels?,"Mess, Study, Discipline and Sports Committees."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What are workers' timings?,Cook & Kamati: 6–9 AM & 4–8 PM; Watchman: 6 AM–9 PM.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How can students/parents raise issues?,Through an issue/complaint box.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How to contact the HWO?,Contact number is displayed on the hostel board.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How can parents contact a boarder?,By calling the HWO.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are parents allowed to meet their child?,Yes.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are boarders taken on tours?,"Yes, excursions are organized."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What material is given to boarders?,"Plate, glass, bed, bedsheet, carpet, trunk box, school bag, 1 pair leather shoes, 3 pairs socks, 1 pair sports shoes."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Who can stay in a Post-Matric Hostel?,Students from Intermediate to PG level.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",When are hostel holidays?,For every festival.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",When does the hostel open?,At the start of the academic year.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",How many students share a room?,"Generally 8, depending on room size."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are luggage racks available?,Yes.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is the girls' hostel safe?,"Yes — only female staff work there, and CC cameras are installed."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What security measures exist for the girls' hostel?,"No unauthorized entry; HWO, Kamati and Watchman are present at all times."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Are bathrooms/washrooms kept clean?,"Yes, cleaned daily."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Is ragging by seniors an issue in post-matric hostels?,No — students are closely monitored by the HWO.
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",Who is the hostel authority?,"DD / DSCDO, ASWO, HWO."
"Hostels — Admission, Facilities, Study, Menu, Health & Other Activities",What basic infrastructure is provided?,"CC cameras, RO water plants, solar water heaters, gym material, bunker beds."
Kalyana Lakshmi Scheme,What is the main objective?,"One-time financial assistance at marriage to each SC/ST/BC/EBC/Minority girl of Telangana, to ease families' financial distress."
Kalyana Lakshmi Scheme,When was it introduced?,2nd October 2014.
Kalyana Lakshmi Scheme,How much is the benefit?,"Rs. 1,00,116 (general); Rs. 1,25,145 (disabled girls)."
Kalyana Lakshmi Scheme,What is the eligibility criteria?,SC/ST/BC/EBC/Minority; resident of Telangana; girl must have completed 18 years at marriage; apply at least one month in advance; married after 02-10-2014.
Kalyana Lakshmi Scheme,What is the income limit?,"SC/ST/Minorities: Rs. 2,00,000; BC/EBC: urban Rs. 2,00,000, rural Rs. 1,50,000 (combined parental income)."
Kalyana Lakshmi Scheme,What is the age limit?,Bride above 18 years; bridegroom above 21 years.
Kalyana Lakshmi Scheme,Is it applicable for a 2nd marriage of the bride?,"Yes, provided she has not previously availed the benefit."
Kalyana Lakshmi Scheme,Are inter-caste and love marriages eligible?,"Yes, if the parents consented."
Kalyana Lakshmi Scheme,Are girls from other states eligible?,"No, only girls of Telangana."
Kalyana Lakshmi Scheme,Must the bridegroom belong to Telangana?,"No, other-state bridegrooms are also eligible."
Kalyana Lakshmi Scheme,Is a manual application form needed?,No.
Kalyana Lakshmi Scheme,Where to apply?,Online / Mee-Seva Centres.
Kalyana Lakshmi Scheme,How to apply?,https://telanganaepass.gov.in → Kalyana Lakshmi → Register.
Kalyana Lakshmi Scheme,Is there a time limit to apply?,No time limit.
Kalyana Lakshmi Scheme,What documents are required?,"Marriage certificate, age proof for both, bride's caste & income certificate, Aadhaar copies of both, bride's mother's Aadhaar & bank passbook copy."
Kalyana Lakshmi Scheme,How to get caste/income/DOB certificates?,Through Mee-Seva.
Kalyana Lakshmi Scheme,Which documents verify age?,"Aadhaar, SSC memo, Voter ID or Ration Card."
Kalyana Lakshmi Scheme,Where to submit hard copies?,Tahsildar office of the mandal to which the bride belongs.
Kalyana Lakshmi Scheme,Who scrutinizes/verifies?,Officers from the Tahsildar and RDO offices.
Kalyana Lakshmi Scheme,Who is the sanctioning authority?,Revenue Divisional Officer.
Kalyana Lakshmi Scheme,What is the sanction procedure?,"After Tahsildar scrutiny, forwarded for the concerned MLA's approval, then sanctioned by the RDO."
Kalyana Lakshmi Scheme,Where to complain?,The District Collector concerned.
Kalyana Lakshmi Scheme,Whom to contact for issues?,General: 040-23390228; Technical: 010-23120311/23120312.
Kalyana Lakshmi Scheme,How long does sanction take?,Apply at least one month before the marriage date for timely sanction.
Kalyana Lakshmi Scheme,Can the application status be tracked?,"Yes, online at https://telanganaepass.gov.in"
Kalyana Lakshmi Scheme,In whose name is the cheque issued?,The bride's mother.
Kalyana Lakshmi Scheme,What if the bride is orphan/semi-orphan?,The cheque is issued in the bride's name.
Kalyana Lakshmi Scheme,Who distributes the cheques?,The concerned MLA.
Kalyana Lakshmi Scheme,What is the difference from Shaadi Mubarak?,Kalyana Lakshmi is for Hindus of any caste; Shaadi Mubarak is for Muslim/Minority candidates.
Inter-Caste Marriage Incentive Scheme,What is the objective?,"An incentive to inter-caste married couples, promoting social integration."
Inter-Caste Marriage Incentive Scheme,What is the eligibility criteria?,One spouse must belong to the SC community.
Inter-Caste Marriage Incentive Scheme,What is the income limit?,None.
Inter-Caste Marriage Incentive Scheme,What is the age limit?,Bride above 18; bridegroom above 21.
Inter-Caste Marriage Incentive Scheme,What is the time limit to apply?,Within 1 year of marriage.
Inter-Caste Marriage Incentive Scheme,Is the scheme applicable to inter sub-castes of SCs?,No.
Inter-Caste Marriage Incentive Scheme,Is a second inter-caste marriage eligible?,No.
Inter-Caste Marriage Incentive Scheme,Is there an income ceiling?,No.
Inter-Caste Marriage Incentive Scheme,Is an education qualification mandatory?,No.
Inter-Caste Marriage Incentive Scheme,What is the benefit amount?,"Rs. 2,50,000."
Inter-Caste Marriage Incentive Scheme,Are minors eligible?,No.
Inter-Caste Marriage Incentive Scheme,Where to apply?,Online / Mee-Seva.
Inter-Caste Marriage Incentive Scheme,How to apply?,http://telanganaepass.cgg.gov.in → Inter Caste Marriage Incentive Award → Register.
Inter-Caste Marriage Incentive Scheme,Is there a registration fee?,No.
Inter-Caste Marriage Incentive Scheme,What documents are required?,"Hindu Marriage Registration Certificate, caste & nativity certificate (Mee-Seva), joint marriage photo, SSC marks memo (if studied), 1st marriage certificate, age proof, joint bank account copy (bride's name first), Aadhaar copies."
Inter-Caste Marriage Incentive Scheme,Who is the sanctioning authority?,Deputy Director / DSCDO (SCDD) of the concerned district.
Inter-Caste Marriage Incentive Scheme,Who verifies eligibility?,The concerned ASWO verifies social status and marriage registration.
Inter-Caste Marriage Incentive Scheme,Is the couple's presence mandatory for enquiry?,Yes.
Inter-Caste Marriage Incentive Scheme,What is the sanction procedure?,Printout submitted with documents to DD/DSCDO; sent to ASWO for verification; sanction accorded on ASWO's recommendation; bill sent to Treasury; amount transferred to the couple's joint account as a Fixed Deposit with a 3-year lock-in; FD copy communicated to the couple.
Inter-Caste Marriage Incentive Scheme,Who to approach for complaints?,The District Officer.
Inter-Caste Marriage Incentive Scheme,How to check application status?,http://telanganaepass.cgg.gov.in → Inter Caste Marriage Incentive Award → View Status.
Inter-Caste Marriage Incentive Scheme,Is a joint bank account required?,Yes.
Inter-Caste Marriage Incentive Scheme,Is any special protection assured to ICM couples?,No.
Inter-Caste Marriage Incentive Scheme,How is the amount given?,"As a Fixed Deposit with a 3-year lock-in, released by cheque on maturity."
Inter-Caste Marriage Incentive Scheme,Are there additional benefits?,None currently; Kalyana Lakshmi is separately available if the bride is an SC girl per its own guidelines.
Inter-Caste Marriage Incentive Scheme,Are ICM couples eligible for Kalyana Lakshmi?,"Yes, if parents consented, since KL is credited to the bride's mother."
Inter-Caste Marriage Incentive Scheme,Is there inter-state cross-verification?,No.
Inter-Caste Marriage Incentive Scheme,Are couples married in the past 5 years eligible for a fresh award?,"No, not eligible again."
Inter-Caste Marriage Incentive Scheme,Can a couple avail both ICM and the Ambedkar Foundation scheme?,"No, only one of the schemes."
Inter-Caste Marriage Incentive Scheme,Can the FD amount be withdrawn during the lock-in period?,No.
Inter-Caste Marriage Incentive Scheme,How is premature withdrawal prevented?,Strict instructions to bank officials by the DSCDO with frequent reminders.
Inter-Caste Marriage Incentive Scheme,Are inter-state marriage couples eligible?,The SC person must belong to Telangana.
Inter-Caste Marriage Incentive Scheme,What is the time limit for releasing the ICM amount?,No fixed limit; subject to budget availability.
Inter-Caste Marriage Incentive Scheme,What if documents cannot be traced during verification?,The ICM amount is not sanctioned.
Inter-Caste Marriage Incentive Scheme,Is there any reservation in education/jobs for ICM couples?,No.
Inter-Caste Marriage Incentive Scheme,What happens if a false claim is found after FD withdrawal?,A criminal case is booked and legal action taken.
Inter-Caste Marriage Incentive Scheme,Is education qualification mandatory?,No.
Inter-Caste Marriage Incentive Scheme,Is parental consent required?,No.
Inter-Caste Marriage Incentive Scheme,Is the award applicable to migrants from other states?,No.
Inter-Caste Marriage Incentive Scheme,What original documents are required for sanction?,"Caste, residence, income, and age-proof documents as required by the verifier."
Inter-Caste Marriage Incentive Scheme,What is the FD amount meant to be used for?,Education/livelihood of their children.
Inter-Caste Marriage Incentive Scheme,Which caste applies to ICM offspring?,Whichever the family prefers.
Inter-Caste Marriage Incentive Scheme,Are ICM couples' children eligible for all Government benefits?,Yes.
Inter-Caste Marriage Incentive Scheme,What happens to the FD if the couple divorces during the lock-in period?,The FD is cancelled and the amount remitted to the district account.
Inter-Caste Marriage Incentive Scheme,Can ICM be availed via other welfare departments?,"Yes, but only under one of the Bride's or Bridegroom's caste welfare departments."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Who registers the FIR?,"The Station House Officer (SHO) — Head Constable, ASI, SI or Inspector, depending on staff availability."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Who investigates PoA Act cases?,"A Dy.S.P.-rank officer (SDPO/ACP or above), appointed by the SP (district) or Commissioner (commissionerates)."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Can an FIR be withdrawn?,"No, once registered it can only be disposed of per the CrPC."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,How long should investigation take?,Normally 60 days as per the Act.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the Police's role?,SHO registers the FIR; the Dy.S.P.-rank officer investigates and files the charge sheet.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Who issues a legal-heir/caste certificate?,"The MRO, or the Court in case of dispute."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Within what time must an arrested accused be produced in court?,Within 24 hours.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the punishment for a false atrocity case?,Punishable under IPC Section 182.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Which court tries SC/ST cases?,Special and Exclusive Special Courts.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Who conducts the trial?,"A notified Exclusive Special Public Prosecutor, or an advocate of 7+ years' practice appointed as such."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What if the accused dies?,The criminal proceedings abate.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Which court tries PCR Act cases?,A Judicial Magistrate (First Class) or Metropolitan Magistrate.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Who argues the victim's case?,The Public Prosecutor.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Who argues for the accused?,A defence lawyer.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What relief is paid in murder/rape/gang-rape cases?,"Murder: Rs. 8,25,000 (50% at FIR+PME, 50% after charge sheet). Rape: Rs. 5,00,000 (50/25/25% across FIR, charge sheet, conclusion). Gang Rape: Rs. 8,25,000 (50/25/25%)."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,"What additional relief applies in murder, rape, and permanent incapacitation cases?","Basic pension of Rs. 5,000/month to dependents plus DA and employment to one family member, land/house if needed; full education cost up to graduation for victims' children; 3 months' provisions (rice, wheat, dal, etc.)."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the relief for acid-burning cases?,"Above 30% burning: Rs. 8,25,000 (50/50%). 10–30%: Rs. 4,50,000 (50/50%). Below 10%: Rs. 85,000 (50/50%). Other categories: 25/50/25% across FIR, charge sheet, conclusion."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What relief applies for assault/criminal force to outrage modesty (Sec. 354 IPC)?,"Rs. 2,00,000 (25% at FIR, 50% at charge sheet, 25% at conviction)."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What relief applies for insulting a woman's modesty (Sec. 509 IPC)?,"Rs. 2,00,000, in the same 25/50/25% stages."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Who is the competent authority for relief payment?,The District Collector / District Magistrate.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What documents does the Police submit for relief sanction?,"FIR copy (stage 1), Charge Sheet copy (stage 2), Conviction details (stage 3)."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What documents are submitted for payment at the Collector's office?,"Legal heir certificate, Aadhaar, bank details, caste certificate."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the role of the State Level Vigilance and Monitoring Committee?,"Meets at least twice a year to review Act implementation, relief/rehabilitation and prosecution progress."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What about the District Level Vigilance and Monitoring Committee?,"Meets quarterly; comprises the District Collector (Chairman), SP, Joint Collector, PO ITDA/DTWO, Dy. Director (SW), and representatives of organizations/caste associations."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,When is 'Civil Rights Day' observed?,30th of every month.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What are parameters for identifying atrocity-prone areas?,"History of untouchability, communal tension, land/water/graveyard disputes, upper-caste torture of SCs/STs, superstition-related targeting, bonded labour/forced scavenging, statue insults, eve-teasing, procession disputes, multiple recent offences, or other local factors."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the SC & ST (PoA) Act?,Enacted in 1989 to prevent atrocities against SCs and STs.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the Act's aim?,To protect SC/ST rights from violence/atrocities.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is meant by 'atrocity'?,"Defined in Sec. 2(1)(a) — includes derogatory insults, intimidation, deprivation of social/property rights, etc., against SC/ST members."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,When was the Act amended?,Enacted 11-09-1989; amended 03-08-2016.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Are PoA Act offences cognizable?,Yes.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Can a PoA Act case be withdrawn?,The Supreme Court/High Court has power to quash criminal cases.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the maximum punishment?,"Ranges from 6 months to life imprisonment or death, depending on the specific clause under Sec. 3."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What if police refuse to register a complaint?,"Approach the SP, or the court under Sec. 156(3) CrPC."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the difference between the PCR Act and the PoA Act?,PCR Act covers untouchability (no relief paid; punishment 1–6 months + fine Rs.100–500). PoA Act covers atrocities against SC/ST with monetary relief and punishment of 6 months to 5 years (or more) + fine.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the punishment for imposing religious disability under the PCR Act?,Imprisonment for a term not less than two years.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the punishment for a public servant neglecting PoA Act duties?,"Imprisonment of 6 months to 1 year, or fine."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Is the SC/ST (PoA) Act compoundable?,No.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Is the PCR Act cognizable?,Yes.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What rights does an accused have?,"Fair trial, bail, legal counsel/free legal aid, and presumption of innocence until proven guilty."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What constitutional provision addresses untouchability?,Article 17 abolishes untouchability in any form.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the difference between civil rights and human rights?,"Civil rights are granted by government; human rights are inherent to all persons regardless of race, sex, religion, etc."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What constitutional articles relate to civil rights?,"Article 14 (equality before law), 15 (social equality/access), 16 (equality in public employment), 17 (abolishes untouchability), 19 (abolition of titles)."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the minimum punishment under the PCR Act?,1 to 6 months' imprisonment and a fine of Rs. 100–500.
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What is the punishment for repeat PCR Act offences?,"2nd offence: 6 months–1 year + fine Rs. 200–500. 3rd or subsequent offence: 1–2 years + fine Rs. 500–1,000."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What untouchability practices does the PCR Act prohibit?,"Denying entry to places of worship (Sec. 3); denying access to shops, restaurants, water sources, roads, public places, charitable trusts, public conveyances, housing, customs (Sec. 4); denying admission to hospitals/schools/hostels (Sec. 5); refusing to sell goods/render services (Sec. 6); inciting or practising untouchability, or insulting an SC member (Sec. 7)."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What are the five basic civil rights?,"Right to vote, fair trial, government service, public education, and use of public facilities."
